title,url,thumbnail,cluster2nd
"기업 데이터, 클라우드로 안전하게 이관하려면",https://byline.network/?p=9004111222475645,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5704%2F2022%2F05%2F30%2F5503.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,25
"美 카네기멜론대, 자율주행 ATV 훈련용 데이터세트 제작",http://www.irobotnews.com/news/articleView.html?idxno=28616,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5430%2F2022%2F05%2F30%2F20016.jpg&type=ff264_180&expire=2&refresh=true,25
데이터산업시대 보건의료정보관리 역할·전략 모색,http://www.whosaeng.com/136432,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5619%2F2022%2F05%2F30%2F34781.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"에이블런-지디넷, ‘일잘러 직장인 필수 데이터분석 과정’ 교육생 모집",https://zdnet.co.kr/view/?no=20220530100937,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F092%2F2022%2F05%2F30%2F2258230.jpg&type=ff264_180&expire=2&refresh=true,26
"[전문가기고]데이터센터, 친환경·경제성 모두 잡아야",http://www.etnews.com/20220530000123,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F030%2F2022%2F05%2F30%2F3020315.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,27
"韓 우주사업팀 꾸리는 AWS…글로벌 위성 데이터, 클라우드로 잡는다",https://www.ajunews.com/view/20220530003424836,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5090%2F2022%2F05%2F30%2F2141493.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
"한국수산자원공단, 공공데이터 구축ㆍ개방",http://www.jejudomin.co.kr/news/articleView.html?idxno=210261,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5186%2F2022%2F05%2F30%2F90176.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
[기고] 스마트하지 않은 데이터 허브 구별법,http://www.datanet.co.kr/news/articleView.html?idxno=173076,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5096%2F2022%2F05%2F30%2F123622.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
아이폰수리 '아이픽스 강남선릉점' 데이터복구 당일 서비스 진행,http://www.ujeil.com/news/articleView.html?idxno=304906,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5583%2F2022%2F05%2F30%2F103186.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
'디지털' 재무장하는 미래에셋그룹...마이데이터도 속속 성과,https://www.ekn.kr/web/view.php?key=20220527010004632,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5133%2F2022%2F05%2F30%2F521192.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,28
6·1 지방선거 개표방송서도 AI·빅데이터 활약 이어진다,http://www.aitimes.com/news/articleView.html?idxno=144904,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5746%2F2022%2F05%2F30%2F84733.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
[이성엽의 기술법정책] '규제에 발 묶인' 금융 마이데이터 서비스,https://www.hankyung.com/opinion/article/2022052998051,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F015%2F2022%2F05%2F30%2F4705246.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,28
"대구시, 제4회 빅데이터 분석 경진대회 개최",http://www.startuptoday.co.kr/news/articleView.html?idxno=102287,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5721%2F2022%2F05%2F30%2F47885.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
'인공지능·빅데이터 활용한 행정서비스 혁신 정책세미나',http://www.naeil.com/news_view/?id_art=424757, ,4
"히어로웍스, '문화빅데이터 플랫폼' 신규 데이터 센터로 선정",https://www.itbiznews.com/news/articleView.html?idxno=72786,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5795%2F2022%2F05%2F30%2F19532.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,2
국내 40세 이상 알츠하이머 치매 환자 증가추세…빅데이터 분석 결과,http://medicalworldnews.co.kr/news/view.php?idx=1510949872, ,1
"알파코, 빅데이터분석 전문가 K디지털트레이닝 딥러닝부트캠프 수강생 모집",http://www.seoulwire.com/news/articleView.html?idxno=470811,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5526%2F2022%2F05%2F30%2F302677.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,26
"화웨이, 차세대 데이터센터 공개··· '간소화·지속 가능성' 강조",https://www.ciokorea.com/news/238244,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5177%2F2022%2F05%2F30%2F33530.jpg&type=ff264_180&expire=2&refresh=true,27
"청송군, 청송사랑화폐 발행 경제효과 빅데이터로 입증",http://www.cfnews.kr/news.aspx/59767,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5482%2F2022%2F05%2F30%2F27969.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
[코인 빅데이터] '대표 밈 암호화폐' 도지코인(DOGE) vs 시바이누(SHIB) 트렌드,http://coinreaders.com/34707,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5676%2F2022%2F05%2F30%2F13965.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"인포매티카, 구글·오라클·MS와 제휴··· ""데이터 클라우드 확장""",https://www.ciokorea.com/news/238294,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5177%2F2022%2F05%2F30%2F33531.jpg&type=ff264_180&expire=2&refresh=true,8
"[소비자민원평가대상-패션플랫폼] 무신사, 축적된 민원 응대 데이터로 빠르게 문제 해결",http://www.consumernews.co.kr/news/articleView.html?idxno=650417,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5275%2F2022%2F05%2F30%2F57613.jpg&type=ff264_180&expire=2&refresh=true,8
"심평원, 연구 수요 높은 코로나 환자 데이터 개방",http://www.insnews.co.kr/design_php/news_view.php?num=69836&firstsec=1&secondsec=14, ,8
"국민의힘 이상일 용인시장 후보, 죽전 데이터센터 해결에 시민안전 최우선",http://www.cooknchefnews.com/news/view/1065580576161974,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5639%2F2022%2F05%2F30%2F13215.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,27
"[배종찬의 빅데이터] 지방선거 마지막 변수는 투표율, 윤석열, 그리고 이재명",https://www.dailyimpact.co.kr/news/articleView.html?idxno=80022,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5670%2F2022%2F05%2F30%2F21842.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
[윤재우의 비대면 선거의 제왕 #27] 합리적이고 과학적인 핵심지표 선정과 객관적 기준에 의한 데이터 분석으로 정확성을 높여야,https://www.busaneconomy.com/news/articleView.html?idxno=281145,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5515%2F2022%2F05%2F30%2F114127.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,2
[#IT라운지] '바로 요금제' 업그레이드·밀리 'IPO'·KT '로밍 얼리버드'·윌라 '다운로드'·U+ '영역 확장'·쿠콘 '데이터'·핑크퐁-KT '베베핀'·신승원 대표 '아시아리더 30인'·HN '지역아,http://www.newsworks.co.kr/news/articleView.html?idxno=599343,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5525%2F2022%2F05%2F30%2F302741.jpg&type=ff264_180&expire=2&refresh=true,8
디지털 농업 가속화 위한 데이터기반 솔루션 보급‧확산 추진  ,http://www.newsfarm.co.kr/news/articleView.html?idxno=75912,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5367%2F2022%2F05%2F30%2F61794.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,5
"다이텍연, 섬유소재 데이터 플랫폼 연계 지원기업 모집",http://okfashion.co.kr/detail.php?number=57935&thread=81r46r02,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5073%2F2022%2F05%2F30%2F27857.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
"KT, 이문3 구역 신축 아파트에 AI 기반 청정환기 시스템 구축",https://zdnet.co.kr/view/?no=20220530100538,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F092%2F2022%2F05%2F30%2F2258235.jpg&type=ff264_180&expire=2&refresh=true,0
"기업은행, 고객센터 '상담지원 AI' 서비스 실시",http://www.newsis.com/view/?id=NISX20220530_0001890695&cID=15001&pID=15000,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F05%2F30%2F11218141.jpg&type=ff264_180&expire=2&refresh=true,21
부산시 빅데이터통계과장에 김현선 전 IBM 상무,http://www.public25.com/news/articleView.html?idxno=11058,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5859%2F2022%2F05%2F30%2F360.jpg&type=ff264_180&expire=2&refresh=true,6
"국방 공공데이터 활용, 창의적 비즈니스 모델 발굴",http://www.koit.co.kr/news/articleView.html?idxno=97778,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5839%2F2022%2F05%2F30%2F14099.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,4
"쿠콘, 현대차증권 마이데이터 서비스에 차량·부동산데이터 제공",http://www.seoulfn.com/news/articleView.html?idxno=456880,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5001%2F2022%2F05%2F30%2F381418.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,28
"[유통 이슈] 셀렉트스타, 인공지능 데이터셋 지원사업 9개팀과 시작 알려 外",http://www.lawissue.co.kr/view.php?ud=202205301436232926204ead0791_12, ,1
"과학기술정보통신부, ‘데이터 청년 캠퍼스’ 교육생 모집",http://www.segyebiz.com/newsView/20220530513093?OutUrl=naver,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5653%2F2022%2F05%2F30%2F61159.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
"셀렉트스타, 인공지능 데이터셋 지원사업 9개팀 선정… 8억원 규모 민간 바우처 지원",http://www.gvalley.co.kr/news/articleView.html?idxno=604010,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5206%2F2022%2F05%2F30%2F78934.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"효성인포메이션시스템, 루마다 데이터옵스 포트폴리오 업그레이드",http://www.epnc.co.kr/news/articleView.html?idxno=223796,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5752%2F2022%2F05%2F30%2F40192.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"중구, 공공데이터 제공 운영실태 우수기관 선정",http://www.shinailbo.co.kr/news/articleView.html?idxno=1557741, ,2
"제1회 빅데이터AI포럼 개최 ""빅데이터와 AI로 글로벌 경쟁력 강화""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=4773063, ,1
"가이온, 2022년 데이터바우처 지원사업에 AI 및 빅데이터 기술 지원",https://www.dailysecu.com/news/articleView.html?idxno=137115, ,1
"화웨이, 차세대 데이터센터 시설 공개…새 전력 시스템 POD 3.0도 공개",https://www.itworld.co.kr/news/238239, ,27
"구미시, 표준데이터 구축·개방 추진",https://www.idaegu.co.kr/news/articleView.html?idxno=383878, ,5
데이터 기반 행정으로 '똑똑한 김포시' 구현,https://www.onews.tv/news/articleView.html?idxno=126982,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5818%2F2022%2F05%2F30%2F90625.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,8
