title,url,thumbnail,cluster2nd
"한국빅데이터학회, '빅데이터AI포럼' 창립",http://www.etnews.com/20220518000016,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F030%2F2022%2F05%2F18%2F3017566.jpg&type=ff264_180&expire=2&refresh=true,1
"인젠트, 가명-익명처리 서비스 '마이데이터 Shield' 무료체험 제공",https://www.dailysecu.com/news/articleView.html?idxno=136872,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5350%2F2022%2F05%2F18%2F113420.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,10
"인천관광공사,행안부 '관광지 데이터 구축 공공데이터'공모 선정",http://www.enewstoday.co.kr/news/articleView.html?idxno=1570745,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5038%2F2022%2F05%2F18%2F724936.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"보령시, 공공데이터 전면 개방 가속도",https://www.jeonmae.co.kr/news/articleView.html?idxno=890690,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5844%2F2022%2F05%2F18%2F47993.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,0
"넥슨, 라프텔과 가명정보 결합… ""데이터 시너지 창출""",https://www.dailyimpact.co.kr/news/articleView.html?idxno=79570,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5670%2F2022%2F05%2F18%2F21511.jpg&type=ff264_180&expire=2&refresh=true,17
"한국축산데이터, 유럽 진출 속도낸다",https://www.hankyung.com/it/article/2022051854191, ,1
"정부, 코로나 빅데이터 플랫폼 구축...전문가위원회도 구성",https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202205181138111039,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5221%2F2022%2F05%2F18%2F84941.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,12
"[사설]의료 마이데이터, 이제 빗장 풀 때",http://www.etnews.com/20220518000218,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F030%2F2022%2F05%2F18%2F3017747.jpg&type=ff264_180&expire=2&refresh=true,10
"인천관광공사, '공공데이터 기업 매칭' 최초 선정",http://www.incheontoday.com/news/articleView.html?idxno=218399,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5688%2F2022%2F05%2F18%2F23058.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,1
"카드사, 빅데이터 분석 쏟아낸다…삼성카드 최다",http://news.einfomax.co.kr/news/articleView.html?idxno=4214332,https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5227%2F2022%2F05%2F18%2F487321.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,12
